Manufacturer,Item,Size,Qty,Units,Unit Cost (AUD),Cost (AUD),Cost (USD),Link
Unnamed,5/lot PH 8P Ribbon Connector (Single Head),800mm,2,lot,8.39,16.78,11.07,https://www.aliexpress.com/item/1005006460578382.html
SVALID,10/lot 4P 24AWG JST XH-2.54 Cable,150mm,1,lot,4.19,4.19,2.77,https://www.aliexpress.com/item/1005002376525415.html
alinsin,10/lot KF120 2.54mm Terminal Block,4P,1,lot,4.42,4.42,2.92,https://www.aliexpress.com/item/1005003179482974.html
,,3P,1,lot,3.47,3.47,2.29,
Creality,CR-Touch ABL (non-bracket),-,1,kit,38.79,38.79,25.60,https://www.aliexpress.com/item/1005009104612536.html
[Filament],1kg PETG Black (self sourced),,,,,0,0,
,1kg PETG Pink (self sourced),,,,,0,0,
,,,,,Shipping,50.77,33.51,
,,,,,Subtotal,910.84,601.15,
,,,,,+10% GST,91.08,60.12,
,,,,,Total,1001.92,661.27,
,,,,,Hack Club Grant,530.30,350.00,
,,,,,Out Of Pocket,471.61,311.27,
